Word,Number of reported results,Number in hard mode,t1,t2,t3,t4,t5,t6,t7,mu,sigma,vowel,overlap,freq,initentropy,ratio,difficulty,mu_zscore,score_zscore,y1,y2,y3
caulk,289721,10740,1,4,20,31,26,15,3,4.34,1.479191919,2,0,245944,3.171782343,0.037070147,3,0.356369481,0.226980316,0.532693277,-0.120495433,-0.368514272
aroma,287836,10343,1,6,25,33,22,11,2,4.1,1.424242424,3,1,2018777,3.026430404,0.035933657,2,-0.241474785,0.050702446,-0.644785549,2.006048261,-1.201970425
cynic,261521,10343,1,6,25,33,22,11,2,4.1,1.424242424,1,1,525906,2.554870224,0.039549405,2,-0.241474785,0.050702446,-2.285600143,-0.579284541,0.285247687
robin,277471,3249,1,6,29,34,21,8,1,3.96,1.250909091,2,0,11423944,3.330480999,0.011709332,2,-0.590217273,-0.22754164,0.83923382,-0.041436688,-0.258595302
ultra,269885,9310,1,7,23,34,24,10,1,4.07,1.338484848,2,0,21795075,3.51224353,0.034496174,2,-0.316205318,-0.151357282,1.18568616,0.033306705,-0.164872119
ulcer,278826,10631,1,4,18,30,28,16,3,4.4,1.474747475,2,0,1336605,3.522948759,0.038127721,3,0.505830547,0.249203416,1.165899104,-0.099250896,-0.438127237
pause,304830,13480,1,8,26,32,21,10,2,4.02,1.474343434,3,0,4606318,3.663738405,0.044221369,1,-0.440756207,0.165958117,1.820400571,1.205989066,-1.125616088
humor,305372,13846,1,5,22,34,25,11,2,4.18,1.361212121,2,0,18085495,3.132511922,0.04534142,2,-0.042193363,-0.057860039,0.496146364,-0.006113365,-0.12307453
frame,336236,15369,1,10,20,24,24,17,3,4.2,1.842020202,2,0,46079991,3.508568625,0.045708966,3,0.007626993,0.744957193,1.225407657,0.191021276,0.157329471
elder,288228,13340,1,3,13,24,30,24,5,4.71,1.561515152,2,1,7299470,3.241846115,0.046282804,3,1.278046057,0.87528977,-0.642794795,0.770747588,-0.486598043
skill,311018,13716,1,3,17,33,27,16,3,4.42,1.397575758,1,1,15835076,2.753049234,0.044100341,3,0.555650903,0.150107533,-1.900223838,-0.471779996,0.440378844
aloft,319698,13708,1,4,22,36,25,11,2,4.24,1.315329293,2,0,497342,3.415182502,0.042877966,2,0.107267704,-0.12702606,0.970617843,-0.109050301,-0.423440356
pleat,359679,14813,1,10,28,31,19,9,2,3.92,1.508686869,2,0,266830,3.719667919,0.041183945,1,-0.689857984,0.292591816,1.517407103,-0.098275583,-0.499362156
shard,358176,14609,1,7,22,28,25,14,4,4.3,1.712020202,1,0,287428,3.460863606,0.040787211,3,0.25672877,0.648702434,0.657083284,-1.386883984,0.25990612
moist,361908,14205,3,13,32,29,16,7,1,3.7,1.542323232,2,0,2140516,3.4800892,0.039250307,1,-1.237881894,1.028854993,1.090404356,-0.095752695,-0.417232931
those,351663,13606,1,13,34,30,15,6,1,3.67,1.334444444,2,0,270014141,3.66795135,0.038690451,1,-1.312612427,0.253744258,1.939033224,1.653116693,3.082134581
light,341314,13347,1,10,25,27,19,12,5,4.06,1.870266667,1,0,126699632,3.10231188,0.039104754,1,-0.341115496,0.994457379,0.253830031,-0.579601176,2.018320891
wrung,294687,11524,0,2,18,39,27,12,2,4.35,1.078282828,1,0,121159,2.851915956,0.039105899,2,0.381279659,-0.672102643,-0.437650199,-1.412510168,0.403444241
could,313220,11592,1,7,29,35,20,8,1,3.97,1.27950404,2,0,302311431,3.260879848,0.037009131,2,-0.565307095,-0.15449559,1.269044508,1.846655195,3.606894658
perky,296968,11148,1,4,17,30,27,17,4,4.45,1.542929293,1,0,1360009,3.06169952,0.037539398,3,0.630381436,0.478268002,-0.058258564,-1.396001173,0.369628859
mount,331844,11451,1,9,29,33,19,7,1,3.82,1.294622222,2,0,36648260,3.281421543,0.034507178,1,-0.938959761,-0.067787432,0.799181048,0.120555044,0.086897596
whack,302348,10163,1,4,22,37,24,10,2,4.17,1.273838384,1,0,725891,2.655870045,0.033613584,2,-0.067103541,-0.183912323,-0.788835336,-1.416481328,0.458364889
sugar,276404,8708,1,6,25,34,23,9,1,4,1.272727273,2,0,22450333,3.455109227,0.031504609,2,-0.490576562,-0.246626431,1.084252903,0.035263212,-0.14252835
knoll,258038,8317,1,1,11,29,33,21,4,4.71,1.278686869,1,1,965905,2.662992033,0.032231687,3,1.278046057,0.366631258,-2.090441512,-0.572066197,0.265192913
crimp,269929,7630,1,5,28,38,20,7,1,3.96,1.14989899,1,0,640746,3.130806242,0.028266692,2,-0.590217273,-0.37161668,0.064569731,-1.397891159,0.343572885
wince,241489,6850,1,3,17,33,29,15,3,4.46,1.381127273,2,0,717079,3.300027802,0.028365681,3,0.655291614,0.123680209,0.76407804,-0.11226355,-0.392973223
prick,273727,7409,1,8,30,33,19,7,1,3.83,1.267081818,1,0,891337,3.047532255,0.027067114,1,-0.914049583,-0.124193075,-0.084614379,-1.3996188,0.366818319
robot,243964,6589,1,8,29,34,20,8,1,3.95,1.316691919,2,1,12656312,2.962649898,0.027008083,2,-0.615127451,-0.08006719,-1.134354623,0.794315636,-0.348900414
point,280622,7094,1,16,37,28,12,4,1,3.47,1.24110202,2,0,175527859,3.477420832,0.025279558,1,-1.810815982,0.415942851,1.416363996,1.031234186,1.877553304
proxy,220950,6206,1,2,11,24,31,26,6,4.87,1.505322222,1,0,10773043,2.761212384,0.028087803,3,1.676608901,1.07543419,-0.580345349,-1.346924274,0.566090869
shire,222197,5640,1,8,32,32,18,8,2,3.93,1.413685859,2,0,2665081,3.777537149,0.025382881,1,-0.664947806,0.169464536,1.62598609,-0.080353307,-0.481479785
solar,209609,4955,1,9,32,32,18,7,1,3.82,1.300606061,2,0,20423792,3.837424331,0.023639252,1,-0.938959761,-0.015101513,1.767493547,0.037500093,-0.260840833
panic,205880,4655,1,9,35,34,16,5,1,3.77,1.191140404,2,0,6396440,3.290670153,0.022610258,1,-1.06351065,-0.059018634,0.758094236,-0.075722378,-0.315588097
tangy,169484,3985,1,4,21,30,24,15,5,4.37,1.629393939,1,0,333638,3.260254427,0.023512544,3,0.431100014,0.649219444,0.296631482,-1.39466972,0.308528888
abbey,132726,3345,1,2,13,29,31,20,3,4.56,1.331781818,2,1,4224864,2.726054287,0.025202296,3,0.904393391,0.204821267,-1.575654219,0.729970837,-0.403835905
favor,137586,3073,1,4,15,26,29,21,4,4.57,1.580909091,2,0,11867822,3.070554373,0.022335121,3,0.929303569,0.635428571,0.37293378,-0.049028365,-0.190514539
drink,153880,3017,1,9,35,34,16,5,1,3.77,1.191140404,1,0,29254937,3.129299416,0.019606187,1,-1.06351065,-0.059018634,0.116446322,-1.211946995,0.722537721
query,107134,2242,1,4,16,30,30,17,2,4.43,1.399090909,2,0,31284313,2.831414958,0.020927063,3,0.58056108,0.062673602,-0.019814621,0.067548225,0.12362444
gorge,91477,1913,1,3,13,27,30,22,4,4.64,1.485252525,2,1,1950264,3.079512923,0.02091236,3,1.103674813,0.576578544,-0.944748359,0.729432083,-0.518524388
crank,101503,1763,1,5,23,31,24,14,2,4.22,1.466262626,1,0,2185208,3.349249774,0.017368945,2,0.057447348,0.088455459,0.460108271,-1.379046486,0.31172859
slump,80630,1362,1,3,23,39,24,9,1,4.13,1.124343434,1,0,878659,3.009551653,0.016891976,2,-0.166744252,-0.494050036,-0.152898274,-1.401232129,0.375740384
